city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
San Marino,44.0,12.5,0.001886122,0.0017745725,0.0014391977,0.0027396737,0.00023138874,3.9011382e-05,3.799435e-09,4.2365682e-05,2.6506143,2.5666642,2.193924,2.4375079,279.41934,286.74823,298.3485,289.2687,282.54242,291.10855,303.34174,293.26486,276.5407,282.32806,293.08957,285.69858
Belgrade,44.75,20.5,0.0014059804,0.0020279307,0.0021060589,0.0018246144,0.00029116854,5.3105934e-05,1.1095517e-08,6.3398555e-05,2.79241,2.706073,2.4091647,2.81525,277.76462,287.52652,299.494,289.29913,281.01767,292.79376,305.85718,294.33884,274.57736,282.36105,293.14984,284.8795
Bratislava,48.25,17.0,0.0018012628,0.0018211553,0.0018358973,0.001950391,0.0003622451,6.518211e-05,1.127605e-08,3.3903514e-05,3.5053542,3.4113781,3.1284416,3.2161133,276.6704,285.54767,296.18582,286.58978,278.8791,290.409,301.89926,290.7814,274.4678,280.5276,290.31583,282.8015
Ljubljana,46.0,14.5,0.0033887206,0.0036882223,0.0038747764,0.0052375845,0.00096090866,0.0003379364,4.547949e-06,0.00015066014,1.9751961,1.9678694,1.5733986,1.7894789,275.44882,283.44754,294.1406,285.19586,278.7772,288.58444,300.2968,289.89645,272.1885,278.4378,288.25815,281.02982
Madrid,40.5,-3.75,0.0014756329,0.0010668522,0.00056568254,0.0016862892,0.00019155651,6.0255534e-05,5.9734964e-09,9.256358e-05,2.1636465,2.4140687,2.309638,2.1086464,280.3446,286.84357,299.17438,289.3145,285.7913,293.52887,307.13016,295.51993,275.6136,280.0513,290.78006,283.65582
Stockholm,59.25,18.0,0.0021160496,0.0013686985,0.0023979333,0.002462817,0.00080056116,0.00018498793,1.2329662e-08,0.00011800196,4.7326994,4.048232,3.3943863,4.115607,274.77478,281.12775,291.6438,282.5523,276.65057,284.86282,295.71362,285.23566,272.66714,277.08624,286.86234,279.7412
Bern,47.0,7.5,0.0040976545,0.0037892708,0.0036463463,0.0036960565,0.0015995819,0.00083135103,2.9759442e-05,0.0004471236,2.0133836,1.8231335,1.5471938,1.6838858,275.48138,282.63568,292.64728,284.0848,278.0002,287.24213,298.37198,287.97702,273.09708,278.19507,287.03268,280.7293
Ankara,40.0,32.75,0.0016806234,0.0014637933,0.0008008946,0.000894908,0.0004856525,0.0001415262,5.6580283e-09,2.1757087e-05,2.0610838,2.2802541,2.4518635,2.007099,274.87076,284.18875,296.28796,287.29578,279.21887,290.6561,304.29364,294.9077,270.92258,277.4777,288.07635,280.31808
Kyiv,50.5,30.5,0.0014510091,0.0015663409,0.0020635207,0.0019363484,0.0006703998,0.00016680406,1.1271832e-08,0.00024888632,3.8937697,3.4238293,3.133053,3.6235409,274.19095,284.5943,296.4941,284.8619,275.9596,289.0923,301.46564,288.72162,272.2371,279.77316,291.0511,281.06635
London,51.5,-0.0,0.0024357869,0.0018784797,0.0016029403,0.0023378707,0.00017616358,2.4408055e-05,6.062552e-09,1.2988523e-05,5.157184,4.4385056,3.708842,4.2142286,279.13168,283.3713,291.58972,285.4073,282.0306,287.80936,296.78995,289.24533,276.15018,278.89032,286.28812,281.6027
North Nicosia,35.25,33.25,0.002569359,0.000988742,0.00021166839,0.0010911402,1.8264044e-06,5.3050496e-08,0.0,0.0,2.1278617,2.2718294,2.1037288,1.8430436,286.1645,292.3149,303.58206,297.21606,291.46985,298.8578,310.8119,304.12228,282.04865,286.49472,296.8739,291.86206
