city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Bristol,51.455231,-2.59665,1.0333333333333334,0.7333333333333333,0.0029925099,0.002045017,0.0018597905,0.0029677222,0.0001803384,2.715684e-05,3.92179e-09,9.744426e-06,4.47001,3.914761,3.4631205,3.9790215,278.3209,282.4844,289.94986,284.53674,281.08148,286.6578,294.52762,288.10046,275.35724,278.21082,285.1954,281.00845,5.724243,8.446991,9.332214,7.0920105
Brno,49.195221,16.60796,18.4,5.933333333333334,0.0013471037,0.0016315866,0.0024787479,0.0014432601,0.000503992,0.00011750732,8.686495e-08,0.0001111553,3.31748,3.2121918,2.8283675,3.0706508,274.45868,283.26215,293.40826,283.7353,276.93024,288.13123,298.91357,287.93616,271.90942,278.20914,287.78223,279.73447,5.020813,9.922089,11.131348,8.201691
Brugge,51.20892,3.22424,1.9,0.9,0.0029316477,0.0020091545,0.0025405006,0.0027728847,0.00011890764,9.444379e-06,3.4298624e-09,4.305325e-06,5.3604474,4.464885,4.046854,4.791925,278.27066,283.32874,291.07553,285.7021,280.5797,286.89264,294.8721,288.94714,275.9192,279.64175,287.018,282.5552,4.6605225,7.250885,7.8540955,6.3919373
Brussels,50.850449,4.34878,7.9,2.8333333333333335,0.002773411,0.0019851997,0.0024503032,0.0023368974,0.00016302032,1.9426321e-05,1.0200318e-08,1.2719886e-05,4.52298,3.7484214,3.3565526,3.9914973,278.0957,283.8125,291.7283,285.245,280.78143,288.25043,296.55225,289.13907,275.38608,279.19025,286.6925,281.57126,5.395355,9.060181,9.859741,7.56781
Bucharest,44.432251,26.10626,73.4,26.166666666666668,0.0018735972,0.0019511274,0.0021952083,0.0015140959,0.00076591334,0.00013889304,1.2165228e-08,0.00011984505,2.7417111,2.6975353,2.1544867,2.4396105,275.51483,285.44754,297.69064,286.43564,279.21158,291.44623,304.63098,292.4033,271.86407,279.3417,290.6617,280.82745,7.3475037,12.104523,13.969269,11.575836
Budapest,47.498009,19.039909,40.03333333333333,11.4,0.0012827996,0.0015062717,0.0020670495,0.0014684134,0.00032706477,5.6856927e-05,1.0619607e-08,9.6535994e-05,2.8026016,2.7796824,2.5518348,2.6505897,274.77866,284.5768,295.20953,284.88797,278.3641,290.35938,301.6781,290.42322,271.11618,278.54605,288.36832,279.61194,7.247925,11.813324,13.309784,10.811279
Burgos,42.349998,-3.7,30.266666666666666,10.6,0.0020322744,0.0020128922,0.001062187,0.0019045227,0.00034789837,0.00012162165,6.3333664e-07,8.074725e-05,3.1082468,2.937767,2.6141334,2.706604,277.82285,282.8149,292.07214,286.00928,282.09967,288.4862,299.56314,292.02902,273.83932,277.21912,285.0424,280.62363,8.260345,11.26709,14.520752,11.4053955
Bydgoszcz,53.123501,18.00762,9.833333333333334,4.4,0.0017555183,0.0013645961,0.0023186856,0.001354609,0.000556386,0.00010804189,9.36608e-09,6.350113e-05,3.753238,3.2064307,2.9634848,3.5875556,274.87305,282.56705,292.2508,283.36728,277.13702,287.09396,297.172,286.9613,272.36407,277.63983,286.96786,279.7917,4.772949,9.454132,10.204132,7.1696167
Cagliari,39.207378,9.13462,53.63333333333333,26.133333333333333,0.002412299,0.0016746067,0.00026815856,0.0022817666,2.5918656e-05,3.813147e-07,1.5595493e-09,1.0454136e-06,3.2318404,3.2617803,2.8173108,2.8005307,283.92337,287.79724,297.90952,292.6491,287.74182,292.13235,302.8785,296.82956,280.5902,283.73865,293.054,288.9605,7.1516113,8.393707,9.824524,7.869049
Cambridge,52.200001,0.11667,2.6666666666666665,1.5333333333333334,0.0017084872,0.0013996139,0.0017405845,0.0018972683,0.0001369588,1.573886e-05,6.0916006e-09,4.9460405e-06,4.926785,4.2447276,3.7612581,4.52196,278.03638,282.68256,290.04892,284.5917,280.8928,287.13293,295.14883,288.48862,275.0674,278.18054,284.85068,280.83624,5.8253784,8.952393,10.298157,7.6523743
