city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Bucharest,44.5,26.0,0.0005397779,2.9284865e-05,0.0,0.00036025487,273.12885,284.5915,295.51694,284.47205,278.65115,267.79904,292.94257,273.63983,298.74094,293.5018,295.1708,272.87732,0.0011931384,0.0028252709,0.0022119381,0.001696894,2.8739583,2.898271,2.2734802,2.6468556
Bucharest,44.5,26.0,0.0005397779,2.9284865e-05,0.0,0.00036025487,273.12885,284.5915,295.51694,284.47205,278.65115,267.79904,292.94257,273.63983,298.74094,293.5018,295.1708,272.87732,0.0011931384,0.0028252709,0.0022119381,0.001696894,2.8739583,2.898271,2.2734802,2.6468556
Belgrade,44.75,20.5,0.00038891193,1.419032e-05,0.0,0.00037202748,274.90292,285.45563,295.31296,285.38882,280.1481,270.3967,292.7227,276.18475,299.7507,293.26663,294.89108,276.18246,0.0013946356,0.0022232055,0.002053847,0.0018734367,2.8395345,2.9520183,2.4648483,3.008136
Belgrade,44.75,20.5,0.00038891193,1.419032e-05,0.0,0.00037202748,274.90292,285.45563,295.31296,285.38882,280.1481,270.3967,292.7227,276.18475,299.7507,293.26663,294.89108,276.18246,0.0013946356,0.0022232055,0.002053847,0.0018734367,2.8395345,2.9520183,2.4648483,3.008136
Zagreb,45.75,16.0,0.00045789438,6.977541e-05,0.0,0.00064506533,274.89017,284.61285,294.1474,284.40924,279.95178,270.2691,291.14868,276.96426,298.40564,291.30786,292.18298,275.0872,0.0016248844,0.0027897586,0.0026867832,0.00293968,2.140671,2.3368156,1.8689283,1.9933221
Zagreb,45.75,16.0,0.00045789438,6.977541e-05,0.0,0.00064506533,274.89017,284.61285,294.1474,284.40924,279.95178,270.2691,291.14868,276.96426,298.40564,291.30786,292.18298,275.0872,0.0016248844,0.0027897586,0.0026867832,0.00293968,2.140671,2.3368156,1.8689283,1.9933221
Ljubljana,46.0,14.5,0.000844717,0.00024121602,2.1899187e-07,0.0008971788,273.51886,282.17352,291.3285,282.4301,278.0581,269.5306,288.25568,273.90656,295.15067,288.49277,289.22702,274.43723,0.00207469,0.0039021668,0.003836328,0.004573522,2.0987773,2.142145,1.7474701,1.9017015
Ljubljana,46.0,14.5,0.000844717,0.00024121602,2.1899187e-07,0.0008971788,273.51886,282.17352,291.3285,282.4301,278.0581,269.5306,288.25568,273.90656,295.15067,288.49277,289.22702,274.43723,0.00207469,0.0039021668,0.003836328,0.004573522,2.0987773,2.142145,1.7474701,1.9017015
Bern,47.0,7.5,0.0013226403,0.00037514986,3.3583467e-05,0.0009771514,273.52365,281.02332,289.43002,281.1874,278.0655,270.68933,286.75003,275.47382,292.84094,286.40378,288.24503,273.70895,0.0030573562,0.0048329886,0.004634942,0.003798121,2.2188323,1.9921587,1.7538558,1.8765433
Bern,47.0,7.5,0.0013226403,0.00037514986,3.3583467e-05,0.0009771514,273.52365,281.02332,289.43002,281.1874,278.0655,270.68933,286.75003,275.47382,292.84094,286.40378,288.24503,273.70895,0.0030573562,0.0048329886,0.004634942,0.003798121,2.2188323,1.9921587,1.7538558,1.8765433
