city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Brno,49.195221,16.60796,275.83197,271.12512,4.706848,287.22305,278.32953,8.893524,297.5124,287.48514,10.027252,286.49283,279.69235,6.800476,10.806451612903226,4.32258064516129
Brugge,51.20892,3.22424,280.15192,276.73868,3.4132385,285.6959,280.33054,5.3653564,293.36935,287.68378,5.6855774,287.79816,283.32968,4.4684753,0.45161290322580644,0.3548387096774194
Brussels,50.850449,4.34878,279.60812,275.29126,4.316864,287.1784,279.2701,7.9082947,295.13885,286.5733,8.565552,287.80524,281.5493,6.255951,4.419354838709677,2.2580645161290325
Bucharest,44.432251,26.10626,277.69495,271.06232,6.6326294,290.7031,280.3528,10.350281,302.34082,290.85043,11.490387,290.75406,281.4092,9.344849,45.096774193548384,12.709677419354838
Budapest,47.498009,19.039909,276.94818,271.23264,5.7155457,289.5081,279.26328,10.244812,299.88763,288.63922,11.248413,288.7259,280.12595,8.599945,23.70967741935484,7.709677419354839
Burgos,42.349998,-3.7,281.34506,274.59146,6.753601,287.912,278.29825,9.613739,298.11627,285.82254,12.293732,290.0393,280.83405,9.205261,14.741935483870968,4.741935483870968
Bydgoszcz,53.123501,18.00762,275.3411,271.04086,4.300232,285.80597,276.9005,8.905457,295.8267,286.13074,9.695953,285.64178,278.93835,6.70343,4.354838709677419,2.0
Cagliari,39.207378,9.13462,287.56427,281.02658,6.537689,292.55115,284.37708,8.174072,303.0015,293.3735,9.627991,296.0937,288.54962,7.5440674,50.03225806451613,19.0
Cambridge,52.200001,0.11667,280.74103,275.959,4.782013,286.32816,278.9405,7.387665,294.0653,285.8979,8.167419,287.78656,281.43607,6.3504944,1.4193548387096775,0.9354838709677419
Cardiff,51.48,-3.18,280.93777,276.86038,4.0773926,285.30206,279.29642,6.0056458,292.03906,285.8854,6.153656,287.15707,282.11078,5.046295,0.12903225806451613,0.0967741935483871
Cartagena,37.605122,-0.98623,288.65845,283.98782,4.670624,291.9996,287.27267,4.7269287,300.0857,295.48627,4.5994263,295.47845,291.13068,4.3477783,4.483870967741935,2.193548387096774
Catania,37.502129,15.08719,286.77255,281.78094,4.9916077,290.8128,285.20773,5.605072,300.8011,294.82007,5.981018,294.91217,289.88477,5.027405,17.29032258064516,6.258064516129032
Chemnitz,50.833328,12.91667,275.9198,271.6449,4.2749023,285.53537,277.2899,8.245483,295.134,285.80185,9.332153,285.49997,279.14926,6.350708,4.290322580645161,1.935483870967742
Chişinău,47.005562,28.8575,275.34195,269.823,5.5189514,288.67255,278.77844,9.894104,300.472,289.38235,11.08963,288.3279,279.83606,8.491852,27.419354838709676,8.258064516129032
Clermont-Ferrand,45.779659,3.08628,279.6133,273.26767,6.345642,287.4538,277.7227,9.73111,296.51718,285.5252,10.991974,288.35474,279.6586,8.696136,9.193548387096774,3.5806451612903225
Cluj-Napoca,46.76667,23.6,275.08807,268.8798,6.2082825,287.40442,277.18942,10.214996,297.65607,286.43863,11.217438,287.34332,277.88553,9.457794,9.03225806451613,3.6451612903225805
Coimbra,40.205639,-8.41955,286.6015,279.4236,7.177887,291.66147,282.85248,8.8089905,299.10657,288.39084,10.715729,293.56064,285.22925,8.33139,18.129032258064516,5.096774193548387
Como,45.809978,9.08744,278.70517,272.18805,6.5171204,287.78403,279.4351,8.348938,297.45282,288.8155,8.637329,287.87064,281.40036,6.470276,4.387096774193548,2.2903225806451615
