city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Bratislava,48.148159,17.106741,36.06666666666667,10.2,0.0014212298,0.0018477314,0.0022927085,0.001844156,0.0003548774,5.4516982e-05,4.825952e-08,4.0429204e-05,3.4393651,3.3726768,3.0790067,3.1532276,275.45044,284.99295,295.56363,285.7054,277.9362,289.7827,301.1112,289.89597,272.9521,280.06152,289.9027,281.83246,4.9841003,9.721191,11.208496,8.063507
Braunschweig,52.265942,10.52673,11.966666666666667,4.933333333333334,0.0021458068,0.0020058781,0.0023669372,0.001930162,0.00025925736,6.48689e-05,1.2493609e-08,3.5990197e-05,4.0464215,3.4070158,3.1571913,3.587336,276.5182,282.89563,292.195,284.4999,278.89688,287.16843,297.10614,288.20755,274.06802,278.46893,287.143,281.03403,4.8288574,8.699493,9.963135,7.173523
Braşov,45.648609,25.606131,18.233333333333334,6.933333333333334,0.0018171555,0.0026193827,0.0031312937,0.0017459334,0.001318329,0.0005386939,3.2802067e-08,0.00029011595,1.890009,1.8952106,1.6738485,1.7069598,271.78647,281.8129,292.57022,283.06635,276.01273,287.5659,299.0973,289.06354,267.61832,276.00302,286.02762,277.72775,8.394409,11.562866,13.069672,11.335785
Breda,51.586559,4.77596,12.533333333333333,4.933333333333334,0.0026095826,0.0021472464,0.0023925598,0.0025458506,0.00011604462,3.588597e-05,9.643345e-09,1.2663371e-05,4.652057,3.983504,3.4078553,3.9732716,278.03464,283.5679,292.2873,285.46878,280.75623,288.048,297.42148,289.38437,275.28012,278.92578,286.9278,281.73862,5.4761047,9.122223,10.493683,7.645752
Bremen,53.075161,8.80777,11.566666666666666,5.166666666666667,0.0025554055,0.0020447192,0.0025430631,0.0022143507,0.00021761295,5.10421e-05,1.3079844e-08,3.23691e-05,4.148878,3.602982,3.294108,3.7169924,276.8752,282.97824,291.96826,284.70718,279.2168,287.32693,297.17154,288.45312,274.4651,278.52148,286.6395,281.1738,4.751709,8.80545,10.532043,7.2793274
Brescia,45.52478,10.22727,25.3,9.566666666666666,0.00215722,0.0027256636,0.00298759,0.0034991151,0.00063734816,0.00026638882,1.9517308e-06,0.0002058352,1.4041535,1.5207441,1.3651502,1.3696345,275.40668,284.67905,295.62018,286.09738,279.00595,289.4628,300.7016,290.2173,272.25745,279.87653,290.63638,282.34775,6.7485046,9.586273,10.065216,7.8695374
Brest,48.400002,-4.48333,0.5,0.3,0.003712204,0.0027822577,0.0016864765,0.003070742,4.1263556e-05,4.986589e-06,5.9068372e-09,4.787551e-06,6.087368,5.5451436,4.3832,5.054175,280.89902,283.63586,290.5401,286.94705,283.2596,286.9167,294.22968,289.96176,278.39322,280.26257,286.85852,284.01102,4.866394,6.654114,7.371155,5.9507446
Brighton,50.828381,-0.13947,2.533333333333333,1.7333333333333334,0.0023406327,0.0019442592,0.0016607604,0.0024957133,0.00010878834,2.472116e-05,2.4422213e-09,1.0799926e-05,5.038289,4.529879,3.7580934,4.367463,278.86325,282.92612,291.0304,285.76028,281.477,286.75778,295.40295,289.20215,276.09714,278.97495,286.48654,282.26462,5.3798523,7.782837,8.916412,6.9375305
Bristol,51.455231,-2.59665,2.066666666666667,1.5333333333333334,0.0027947181,0.0025181428,0.001974063,0.0027963207,0.00013697968,4.754449e-05,4.794227e-09,8.549387e-06,4.7239366,4.3988547,3.6588683,4.147248,278.42923,282.4904,290.54333,284.95114,281.1637,286.55988,295.18295,288.3906,275.52652,278.33252,285.74448,281.46066,5.6371765,8.227356,9.438477,6.9299316
Brno,49.195221,16.60796,23.333333333333332,6.9,0.0013092391,0.001685645,0.0023678811,0.0015856527,0.00048827182,0.000111825095,1.421217e-08,5.8453927e-05,3.3721237,3.2535214,2.8820682,3.0620458,274.4628,283.54718,293.93967,284.48102,276.77582,288.31015,299.54807,288.58072,272.07263,278.5504,288.1676,280.62692,4.703186,9.759735,11.380463,7.9537964
Brugge,51.20892,3.22424,3.566666666666667,1.9333333333333333,0.00272617,0.0021663045,0.0025257394,0.0027443222,9.7017684e-05,3.0118223e-05,6.6094885e-09,4.0703057e-06,5.4602633,4.6998286,3.966703,4.716046,278.21497,283.36038,291.8646,286.1251,280.49103,286.8625,295.83215,289.2917,275.9147,279.7773,287.63,283.06512,4.5763245,7.0851746,8.202148,6.2265625
Brussels,50.850449,4.34878,13.9,5.2,0.002589637,0.0021985914,0.0023631281,0.002310223,0.00012130644,4.141603e-05,1.0556344e-08,1.8311173e-05,4.6672015,3.9795449,3.3743317,3.9968097,278.01367,283.85175,292.67523,285.7657,280.6903,288.20892,297.78842,289.6271,275.33502,279.35852,287.3691,282.1085,5.3552856,8.850403,10.419312,7.5186157
Bucharest,44.432251,26.10626,77.53333333333333,29.466666666666665,0.0021351697,0.001979224,0.0021003366,0.0015946768,0.0009779473,0.00012615505,1.3260214e-08,8.552443e-05,2.7127154,2.7099636,2.2337348,2.4118218,274.8514,285.97897,297.92496,287.05615,278.39566,291.96323,304.90234,293.02753,271.35083,279.93655,290.8696,281.50836,7.0448303,12.026672,14.032745,11.519165
