city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Budapest,47.498009,19.039909,0.0003668017,1.04072415e-05,0.0,0.00021411298,274.04663,284.52698,294.45227,284.21704,0.0013924249,0.0021771246,0.002170638,0.0016795698,2.9232047,3.0508947,2.6629198,2.8029613,276.94818,271.23264,5.7155457,289.5081,279.26328,10.244812,299.88763,288.63922,11.248413,288.7259,280.12595,8.599945,23.70967741935484,7.709677419354839
Burgos,42.349998,-3.7,0.00047800745,4.153915e-05,0.0,0.00017645859,277.73145,283.00522,291.76086,285.13458,0.0020638986,0.0021500927,0.0010691779,0.0022974694,3.5553176,3.4395244,3.0784383,3.295697,281.34506,274.59146,6.753601,287.912,278.29825,9.613739,298.11627,285.82254,12.293732,290.0393,280.83405,9.205261,14.741935483870968,4.741935483870968
Bydgoszcz,53.123501,18.00762,0.00048312705,2.1511083e-05,0.0,0.00021345876,273.22147,281.59067,291.28918,282.28775,0.0015202961,0.001915125,0.0023349759,0.0015082052,4.261409,3.7349563,3.3018029,3.7919583,275.3411,271.04086,4.300232,285.80597,276.9005,8.905457,295.8267,286.13074,9.695953,285.64178,278.93835,6.70343,4.354838709677419,2.0
Cagliari,39.207378,9.13462,1.3638568e-06,2.0979127e-07,0.0,2.7345502e-07,284.0661,288.40042,298.23077,292.09824,0.001411467,0.0010951207,0.0004981598,0.0018347609,3.7627974,3.6375663,3.1273153,3.335337,287.56427,281.02658,6.537689,292.55115,284.37708,8.174072,303.0015,293.3735,9.627991,296.0937,288.54962,7.5440674,50.03225806451613,19.0
Cambridge,52.200001,0.11667,0.000116334166,3.851015e-06,0.0,3.8595183e-05,278.33942,282.64578,290.03717,284.57034,0.0017148431,0.0019471807,0.002043302,0.002017252,4.9834247,4.292296,3.8541148,4.390601,280.74103,275.959,4.782013,286.32816,278.9405,7.387665,294.0653,285.8979,8.167419,287.78656,281.43607,6.3504944,1.4193548387096775,0.935483870967742
Cardiff,51.48,-3.18,0.00012677544,9.67753e-06,0.0,3.9035698e-05,278.9041,282.35608,289.05087,284.64932,0.0027533618,0.0024884439,0.0026752427,0.0034394136,5.274937,4.5063143,4.0815783,4.643549,280.93777,276.86038,4.0773926,285.30206,279.29642,6.0056458,292.03906,285.8854,6.153656,287.15707,282.11078,5.046295,0.1290322580645161,0.0967741935483871
Cartagena,37.605122,-0.98623,5.229827e-07,0.0,0.0,2.1406399e-07,286.18423,289.70236,297.83618,293.2726,0.000925176,0.0006140629,0.0005501488,0.0011465225,4.3496823,4.335396,3.7991025,3.98647,288.65845,283.98782,4.670624,291.9996,287.27267,4.7269287,300.0857,295.48627,4.5994263,295.47845,291.13068,4.3477783,4.483870967741935,2.193548387096774
Catania,37.502129,15.08719,5.157703e-05,4.6871895e-07,0.0,9.485043e-06,284.10422,288.0189,297.87308,292.27313,0.0023201222,0.0010873006,0.001011804,0.002836447,3.2585485,2.8939564,2.3401296,2.6637318,286.77255,281.78094,4.9916077,290.8128,285.20773,5.605072,300.8011,294.82007,5.981018,294.91217,289.88477,5.027405,17.29032258064516,6.258064516129032
Chemnitz,50.833328,12.91667,0.00084791676,6.6545384e-05,2.275231e-08,0.00046010333,273.76813,281.515,290.62122,282.1971,0.002269102,0.0024017761,0.002790874,0.002242744,3.9329183,3.2506855,2.7970102,3.287996,275.9198,271.6449,4.2749023,285.53537,277.2899,8.245483,295.134,285.80185,9.332153,285.49997,279.14926,6.350708,4.290322580645161,1.935483870967742
Chişinău,47.005562,28.8575,0.0005557366,2.8282937e-05,0.0,0.00026972833,272.64514,283.8916,295.15326,284.00568,0.0011797711,0.0018647469,0.0016612237,0.0013270241,3.1949203,3.1488247,2.7710996,3.013414,275.34195,269.823,5.5189514,288.67255,278.77844,9.894104,300.472,289.38235,11.08963,288.3279,279.83606,8.491852,27.41935483870968,8.258064516129032
