city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Valladolid,41.655182,-4.72372,0.00015080505,1.0558632e-05,0.0,5.2458712e-05,277.96143,282.85812,292.77228,285.24103,280.402,274.4636,289.29385,277.82895,296.19638,287.97787,292.90805,278.6586,0.0017435948,0.0018685207,0.00085945654,0.0015774674,3.3936603,3.2693207,2.9681945,2.8475199
Zaragoza,41.656059,-0.87734,5.0825874e-05,4.3282907e-06,0.0,4.8050286e-05,279.81238,285.27066,294.91217,286.9834,282.8591,276.8563,290.76782,279.78116,298.33813,290.84778,294.79968,280.01117,0.0012257079,0.0019254823,0.0013968666,0.0012233972,3.7946234,4.111132,3.4814763,3.4767087
Rome,41.894741,12.4839,3.8921833e-05,2.9239388e-06,0.0,1.4438894e-05,281.7582,285.88025,294.9084,288.66913,283.6595,279.92456,290.56802,280.74042,298.1482,292.1953,294.70767,282.8619,0.003746793,0.0024474144,0.0022920342,0.0041008154,3.256806,3.0104578,2.5367973,2.831119
Skopje,42.001221,21.42878,0.0008889529,6.366968e-05,4.8100947e-06,0.000554453,274.13934,282.85547,292.3347,283.28522,278.87027,271.04385,289.2955,275.0425,294.52612,289.4956,291.5664,274.7397,0.0019689216,0.002903819,0.0019591278,0.002250001,1.6689341,1.7346181,1.6300571,1.6011623
Plovdiv,42.150002,24.75,0.0010179308,9.383626e-05,9.444024e-07,0.00048595402,273.86942,282.88385,292.10248,283.46368,278.98532,271.37296,288.7899,275.2181,293.94907,289.42838,290.8563,275.66855,0.0020486063,0.0034721242,0.0024802736,0.0018308348,1.8785275,1.9890655,1.79874,1.804195
Vigo,42.232819,-8.72264,9.427248e-06,2.1192763e-08,0.0,2.2058132e-06,282.39124,284.6803,290.76218,287.2873,283.9056,280.01437,287.4754,281.86462,292.89337,287.56873,291.72205,282.33832,0.00720413,0.003446367,0.001658143,0.005474931,4.6198545,4.218173,3.791385,3.7256343
Burgos,42.349998,-3.7,0.00060593185,9.649892e-05,1.9868216e-09,0.00021813413,276.82794,280.89676,289.7125,283.6069,279.33383,273.76694,285.71765,275.67215,292.57568,285.91125,290.43628,277.22137,0.0023301204,0.0027011791,0.0015065749,0.0018960814,3.6882553,3.368438,2.9359446,3.0550027
Sofia,42.69751,23.32415,0.0010590821,0.00016132096,2.2654733e-06,0.0005716284,272.47675,281.70758,290.4771,281.93604,277.8292,269.8292,287.85925,273.91528,292.38477,287.80908,289.39148,274.73404,0.0018118342,0.003517878,0.0025561214,0.00174944,1.9537388,1.9923948,1.7686158,1.8275647
Perpignan,42.697639,2.89541,0.00014980932,2.4921199e-05,0.0,9.396175e-05,280.6818,284.72324,293.6015,287.22668,282.75656,278.6804,289.2605,279.42178,295.82324,290.32153,293.30884,280.82867,0.0022357185,0.0029096862,0.002219236,0.0021908085,3.9172742,3.9436266,3.433161,3.663849
Pamplona,42.816872,-1.64323,0.0004373302,4.885445e-05,0.0,0.00013742447,278.55573,282.54044,290.769,284.95737,281.2889,276.1804,287.79443,277.2454,293.85352,287.25342,290.94812,278.5429,0.0034882287,0.0036508043,0.0027783355,0.0028378586,3.120452,3.0231833,2.6142762,2.8053641
Santiago de Compostela,42.88052,-8.54569,2.5398202e-05,3.8875476e-07,0.0,4.94851e-06,281.30164,283.65872,290.10086,286.51486,283.7298,278.62442,286.38583,280.611,292.52515,286.35342,291.00015,282.2325,0.005542779,0.003141382,0.001716582,0.004288835,4.2240095,3.8714528,3.4615386,3.457
Perugia,43.112202,12.38878,0.00025208693,2.8890372e-05,0.0,0.00013317764,278.27304,283.7933,293.58893,285.667,280.76865,275.70685,289.33862,277.59085,297.3888,290.7931,293.16516,278.32108,0.0027953605,0.0027402223,0.0023231069,0.0028499465,2.433352,2.4472272,2.1063821,2.281
Toulon,43.116669,5.93333,7.059673e-05,2.9007595e-06,0.0,1.5938282e-05,282.10013,285.58948,294.25592,288.43738,283.56918,280.0678,289.49487,280.92435,297.1709,291.33057,294.10498,283.41293,0.0031873207,0.0018040676,0.001200807,0.0030988872,5.6687756,5.1914887,4.410149,4.886514
Varna,43.216671,27.91667,0.0003971471,5.357795e-07,0.0,0.00011667278,276.2506,283.756,293.98956,286.0185,280.2438,272.80167,289.50073,276.8984,296.04623,291.75992,292.87094,279.08813,0.0015781085,0.0020940702,0.001709387,0.0015108745,4.3667326,3.588985,3.3653848,3.8947265
Bilbao,43.262711,-2.92528,0.00021874243,2.2963683e-05,0.0,4.8397644e-05,281.0797,283.4694,290.46262,286.60318,283.48257,278.55923,287.3195,279.23782,292.9318,287.1373,291.3042,281.6874,0.004059479,0.0038282422,0.002510018,0.0036899885,4.258682,3.682336,2.9137511,3.5247693
Marseille,43.296951,5.38107,4.1013296e-05,2.161662e-06,0.0,1.2542141e-05,281.904,285.68698,294.3417,288.34464,283.4461,279.83066,289.7001,280.87958,297.15372,291.31845,294.07065,283.10928,0.0029730399,0.0017854214,0.0013085312,0.003030173,5.9892306,5.489983,4.7226343,5.274355
Donostia / San Sebastián,43.312832,-1.97499,0.00021794505,2.3760398e-05,0.0,5.3278603e-05,281.5157,283.80978,290.86707,287.0898,283.659,279.4487,287.75455,279.5251,293.3732,287.51523,291.68994,281.87363,0.0045901006,0.0038417154,0.0030479643,0.0039502857,4.933072,4.2385983,3.4108162,4.073805
Oviedo,43.360291,-5.84476,0.0007294138,0.0001487131,2.4735928e-07,0.000293836,279.74228,282.1344,289.09467,285.33838,281.98117,277.2856,285.41638,278.433,291.23877,285.7793,290.0912,280.26117,0.0039544203,0.0038263719,0.0025936207,0.003755317,3.7768743,3.406886,2.8719468,3.2051613
Arezzo,43.461391,11.87691,0.00033709343,3.170305e-05,0.0,0.00020965868,277.83267,283.5298,293.26773,285.24954,280.39337,275.14316,288.83707,277.47366,296.989,290.46884,292.64273,277.87265,0.0030999235,0.0028519523,0.0024820645,0.0029892498,2.2685027,2.2945583,1.9827915,2.1121392
Santander,43.464722,-3.80444,0.00016863612,1.8505916e-05,0.0,4.7289002e-05,282.28937,284.13458,290.93854,287.62875,284.51944,280.11148,287.48892,280.45868,293.1559,287.68042,291.85483,283.15356,0.004145249,0.0038070916,0.0026000552,0.003991233,4.510907,4.0862303,3.42075,3.9186413
Split,43.508911,16.43915,0.00019421974,1.7621784e-05,0.0,0.00012346373,280.6295,285.48773,294.23126,287.66144,282.53043,277.79385,290.29453,279.4507,296.69687,292.02213,293.89713,282.28802,0.004237175,0.0029137186,0.0025778029,0.0047418354,4.132203,3.9025347,3.05318,3.7014601
Aix-en-Provence,43.528301,5.44973,9.1001726e-05,7.1412987e-06,0.0,2.4861762e-05,280.27695,285.1836,294.48642,287.19394,282.21097,277.9042,289.8358,279.69843,297.13632,291.29794,293.65982,281.29745,0.0028137313,0.0021065606,0.0015301069,0.0027983056,4.340602,4.203139,3.7562099,3.9525805
Gijón,43.535728,-5.66152,0.00039718286,8.8356595e-05,3.8411883e-08,0.00015534429,281.33984,283.30093,289.8605,286.58914,283.507,279.10562,286.41943,279.85092,291.8983,286.74088,290.83804,282.04794,0.0041833664,0.004059349,0.0027417978,0.004072009,4.119776,3.7178228,3.1946037,3.5523388
Livorno,43.542641,10.316,3.0295054e-05,1.5629662e-07,0.0,1.3664033e-05,282.1849,286.15228,295.01532,289.0482,283.97052,280.2351,290.14902,281.37924,297.96265,292.3204,294.7596,283.54745,0.0035019876,0.0023591598,0.00229507,0.0035051743,3.9968512,3.3866725,2.8006978,3.368505
Sochi,43.599171,39.725689,0.0015042318,6.339682e-05,1.809332e-06,0.00085371337,277.14368,283.3942,293.05878,286.44635,279.82208,272.9324,289.25757,277.23746,295.99863,289.93848,292.42236,279.58456,0.003930532,0.0033830774,0.0037066988,0.005050135,3.2013886,2.555034,2.2027323,2.690208
Toulouse,43.604259,1.44367,0.00012494624,1.6567112e-05,0.0,4.7214828e-05,279.6168,284.23175,292.79337,286.22415,282.43942,276.9946,289.8363,278.17032,295.46777,289.46045,292.62183,279.2696,0.0028284113,0.0031590322,0.0023226975,0.0021658798,3.2460737,3.3336189,2.7247534,2.9680555
Montpellier,43.61092,3.87723,0.00013183156,3.2002727e-06,9.934108e-10,5.6506196e-05,280.9219,285.0621,293.83054,287.34665,282.8157,278.44513,289.35706,279.98685,296.2074,290.73596,292.82764,281.6584,0.0035763602,0.0024892709,0.0022266784,0.0036684673,4.690741,4.4086585,3.825194,4.2154317
Nice,43.703129,7.26608,0.0009902831,0.00010352665,1.027849e-06,0.00039211026,278.96365,283.2118,292.2038,286.14807,280.34607,276.3819,287.71698,277.65906,295.0619,289.56482,291.93814,281.26062,0.0036870814,0.0029077423,0.0021298516,0.003395243,2.8935673,2.6983562,2.1881597,2.4224913
Pisa,43.71553,10.39659,0.00010994143,3.5471385e-06,0.0,5.776485e-05,281.027,285.39148,294.3097,288.00735,282.86636,278.86514,289.6503,280.4009,297.27188,291.6044,293.9435,282.41547,0.004187793,0.0030472623,0.0027374001,0.0041394974,3.300541,2.8600848,2.3684192,2.8005898
Firenze,43.76667,11.25,0.00026176948,1.5886624e-05,0.0,0.00019628384,278.16965,283.985,293.6626,285.66837,280.81064,275.30463,288.95242,278.27493,297.07187,290.65332,292.84662,278.29926,0.003295065,0.0026897783,0.002316807,0.003142332,2.1992314,2.2184768,1.9333808,2.0447822
Nîmes,43.833328,4.35,0.000116865835,2.0136436e-06,0.0,6.3856445e-05,280.46677,285.58112,294.86313,287.3299,282.58145,277.7115,290.46704,279.8799,297.526,291.57324,293.43457,281.31317,0.0033203044,0.0024814387,0.0022481123,0.0035087487,4.09706,3.8739653,3.5592341,3.826773
Lucca,43.843571,10.50585,0.0004890879,3.9172835e-05,0.0,0.00022866992,278.90295,284.0713,293.2648,286.23004,281.17868,276.3401,288.80118,278.42435,296.26718,290.59293,292.69385,280.17685,0.0042050495,0.0033973642,0.0030222626,0.004006569,2.5427887,2.3384044,1.9632283,2.225301
Sarajevo,43.84864,18.35644,0.0016489535,0.00032328913,9.896855e-06,0.0010276735,272.93292,280.6079,289.3942,281.19415,276.62387,269.617,287.29834,272.39932,291.85278,286.83813,289.11743,274.57764,0.0030810614,0.003888291,0.003201759,0.0031432111,1.8362395,1.956745,1.6456106,1.7494525
Prato,43.884251,11.09092,0.00044123532,2.8424958e-05,0.0,0.00028175116,277.90207,283.8659,293.52533,285.5173,280.67856,274.87006,288.86047,277.95157,296.8402,290.72534,292.62695,278.32352,0.0034776966,0.0028950633,0.0026884556,0.0032714882,2.123494,2.211961,1.9158808,1.998689
